,winner,loser,event
0,Carla Esparza,Rose Namajunas,The_Ultimate_Fighter_A_Champion_Will_Be_Crowned
1,Charles Oliveira,Jeremy Stephens,The_Ultimate_Fighter_A_Champion_Will_Be_Crowned
2,K.J. Noons,Daron Cruickshank,The_Ultimate_Fighter_A_Champion_Will_Be_Crowned
3,Yancy Medeiros,Joe Proctor,The_Ultimate_Fighter_A_Champion_Will_Be_Crowned
4,Jessica Penne,Randa Markos,The_Ultimate_Fighter_A_Champion_Will_Be_Crowned
5,Felice Herrig,Lisa Ellis,The_Ultimate_Fighter_A_Champion_Will_Be_Crowned
6,Heather Jo Clark,Bec Rawlings,The_Ultimate_Fighter_A_Champion_Will_Be_Crowned
7,Joanne Calderwood,Seo Hee Ham,The_Ultimate_Fighter_A_Champion_Will_Be_Crowned
8,Tecia Torres,Angela Maga\xc3\xb1a,The_Ultimate_Fighter_A_Champion_Will_Be_Crowned
9,Aisling Daly,Alex Chambers,The_Ultimate_Fighter_A_Champion_Will_Be_Crowned
10,Angela Hill,Emily Kagan,The_Ultimate_Fighter_A_Champion_Will_Be_Crowned
