,winner,loser,event
0,Nicco Monta\xc3\xb1o,Roxanne Modafferi,The_Ultimate_Fighter_A_New_World_Champion
1,Sean O\'Malley,Terrion Ware,The_Ultimate_Fighter_A_New_World_Champion
2,Lauren Murphy,Barb Honchak,The_Ultimate_Fighter_A_New_World_Champion
3,Gerald Meerschaert,Eric Spicely,The_Ultimate_Fighter_A_New_World_Champion
4,DeAnna Bennett,Melinda F\xc3\xa1bi\xc3\xa1n,The_Ultimate_Fighter_A_New_World_Champion
5,Brett Johns,Joe Soto,The_Ultimate_Fighter_A_New_World_Champion
6,Montana De La Rosa,Christina Marks,The_Ultimate_Fighter_A_New_World_Champion
7,Ryan Janes,Andrew Sanchez,The_Ultimate_Fighter_A_New_World_Champion
8,Rachael Ostovich,Karine Gevorgyan,The_Ultimate_Fighter_A_New_World_Champion
9,Shana Dobson,Ariel Beck,The_Ultimate_Fighter_A_New_World_Champion
10,Gillian Robertson,Emily Whitmire,The_Ultimate_Fighter_A_New_World_Champion
