,winner,loser,weight_class,event
0,Stephen Thompson,Jake Ellenberger,Welterweight,The_Ultimate_Fighter_American_Top_Team_vs_Blackzilians
1,Kamaru Usman,Hayder Hassan,Welterweight,The_Ultimate_Fighter_American_Top_Team_vs_Blackzilians
2,Michael Graves,Vicente Luque,Welterweight,The_Ultimate_Fighter_American_Top_Team_vs_Blackzilians
3,Jorge Masvidal,Cezar Ferreira,Welterweight,The_Ultimate_Fighter_American_Top_Team_vs_Blackzilians
4,Michelle Waterson,Angela Maga\xc3\xb1a,Women\'s Strawweight,The_Ultimate_Fighter_American_Top_Team_vs_Blackzilians
5,Maximo Blanco,Mike De La Torre,Catchweight (148.5 lbs),The_Ultimate_Fighter_American_Top_Team_vs_Blackzilians
6,Josh Samman,Caio Magalh\xc3\xa3es,Middleweight,The_Ultimate_Fighter_American_Top_Team_vs_Blackzilians
7,Jerrod Sanders,Russell Doane,Bantamweight,The_Ultimate_Fighter_American_Top_Team_vs_Blackzilians
8,Trevor Smith,Dan Miller,Middleweight,The_Ultimate_Fighter_American_Top_Team_vs_Blackzilians
9,George Sullivan,Dominic Waters,Welterweight,The_Ultimate_Fighter_American_Top_Team_vs_Blackzilians
10,Willie Gates,Darrell Montague,Flyweight,The_Ultimate_Fighter_American_Top_Team_vs_Blackzilians
