,winner,loser,weight_class,event
0,Kamaru Usman,Rafael dos Anjos,Welterweight,The_Ultimate_Fighter_Heavy_Hitters
1,Juan Espino Dieppa,Justin Frazier,Heavyweight,The_Ultimate_Fighter_Heavy_Hitters
2,Macy Chiasson,Pannie Kianzad,Women\'s Featherweight,The_Ultimate_Fighter_Heavy_Hitters
3,Pedro Munhoz,Bryan Caraway,Bantamweight,The_Ultimate_Fighter_Heavy_Hitters
4,Edmen Shahbazyan,Darren Stewart,Middleweight,The_Ultimate_Fighter_Heavy_Hitters
5,Antonina Shevchenko,Ji Yeon Kim,Catchweight (130.5 lbs),The_Ultimate_Fighter_Heavy_Hitters
6,Kevin Aguilar,Rick Glenn,Catchweight (148.5 lbs),The_Ultimate_Fighter_Heavy_Hitters
7,Joseph Benavidez,Alex Perez,Flyweight,The_Ultimate_Fighter_Heavy_Hitters
8,Maurice Greene,Michel Batista,Heavyweight,The_Ultimate_Fighter_Heavy_Hitters
9,Leah Letson,Julija Stoliarenko,Women\'s Featherweight,The_Ultimate_Fighter_Heavy_Hitters
10,Roosevelt Roberts,Darrell Horcher,Lightweight,The_Ultimate_Fighter_Heavy_Hitters
11,Tim Means,Ricky Rainey,Welterweight,The_Ultimate_Fighter_Heavy_Hitters
12,Raoni Barcelos,Chris Guti\xc3\xa9rrez,Bantamweight,The_Ultimate_Fighter_Heavy_Hitters
