,winner,loser,event
0,Martin Kampmann,Jake Ellenberger,The_Ultimate_Fighter_Live
1,Michael Chiesa,Al Iaquinta,The_Ultimate_Fighter_Live
2,Charles Oliveira,Jonathan Brookins,The_Ultimate_Fighter_Live
3,Max Holloway,Pat Schilling,The_Ultimate_Fighter_Live
4,Justin Lawrence,John Cofer,The_Ultimate_Fighter_Live
5,Daron Cruickshank,Chris Tickle,The_Ultimate_Fighter_Live
6,Myles Jury,Chris Saunders,The_Ultimate_Fighter_Live
7,Sam Sicilia,Cristiano Marcello,The_Ultimate_Fighter_Live
8,Joe Proctor,Jeremy Larsen,The_Ultimate_Fighter_Live
9,\xc3\x89rik P\xc3\xa9rez,John Albert,The_Ultimate_Fighter_Live
