,winner,loser,weight_class,event
0,Justin Gaethje,Michael Johnson,Lightweight,The_Ultimate_Fighter_Redemption
1,Jesse Taylor,Dhiego Lima,Welterweight,The_Ultimate_Fighter_Redemption
2,Drakkar Klose,Marc Diakiese,Lightweight,The_Ultimate_Fighter_Redemption
3,Jared Cannonier,Nick Roehrick,Light Heavyweight,The_Ultimate_Fighter_Redemption
4,Brad Tavares,Elias Theodorou,Middleweight,The_Ultimate_Fighter_Redemption
5,Jordan Johnson,Marcel Fortuna,Light Heavyweight,The_Ultimate_Fighter_Redemption
6,Angela Hill,Ashley Yoder,Women\'s Strawweight,The_Ultimate_Fighter_Redemption
7,James Krause,Tom Gallicchio,Welterweight,The_Ultimate_Fighter_Redemption
8,C.B. Dollaway,Ed Herman,Light Heavyweight,The_Ultimate_Fighter_Redemption
9,Tecia Torres,Juliana Lima,Women\'s Strawweight,The_Ultimate_Fighter_Redemption
10,Gray Maynard,Teruto Ishihara,Featherweight,The_Ultimate_Fighter_Redemption
