,winner,loser,event
0,Michael Bisping,Jason Miller,The_Ultimate_Fighter_Team_Bisping_vs_Team_Miller_Finale
1,Diego Brandao,Dennis Bermudez,The_Ultimate_Fighter_Team_Bisping_vs_Team_Miller_Finale
2,John Dodson,T.J. Dillashaw,The_Ultimate_Fighter_Team_Bisping_vs_Team_Miller_Finale
3,Tony Ferguson,Yves Edwards,The_Ultimate_Fighter_Team_Bisping_vs_Team_Miller_Finale
4,Johnny Bedford,Louis Gaudinot,The_Ultimate_Fighter_Team_Bisping_vs_Team_Miller_Finale
5,Marcus Brimage,Stephen Bass,The_Ultimate_Fighter_Team_Bisping_vs_Team_Miller_Finale
6,John Albert,Dustin Pague,The_Ultimate_Fighter_Team_Bisping_vs_Team_Miller_Finale
7,Roland Delorme,Josh Ferguson,The_Ultimate_Fighter_Team_Bisping_vs_Team_Miller_Finale
8,Steven Siler,Josh Clopton,The_Ultimate_Fighter_Team_Bisping_vs_Team_Miller_Finale
9,Bryan Caraway,Dustin Neace,The_Ultimate_Fighter_Team_Bisping_vs_Team_Miller_Finale
