,winner,loser,event
0,Roy Nelson,Matt Mitrione,The_Ultimate_Fighter_Team_Carwin_vs_Team_Nelson
1,Colton Smith,Mike Ricci,The_Ultimate_Fighter_Team_Carwin_vs_Team_Nelson
2,Pat Barry,Shane del Rosario,The_Ultimate_Fighter_Team_Carwin_vs_Team_Nelson
3,Dustin Poirier,Jonathan Brookins,The_Ultimate_Fighter_Team_Carwin_vs_Team_Nelson
4,Mike Pyle,James Head,The_Ultimate_Fighter_Team_Carwin_vs_Team_Nelson
5,Johnny Bedford,Marcos Vinicius,The_Ultimate_Fighter_Team_Carwin_vs_Team_Nelson
6,Rustam Khabilov,Vinc Pichel,The_Ultimate_Fighter_Team_Carwin_vs_Team_Nelson
7,TJ Waldburger,Nick Catone,The_Ultimate_Fighter_Team_Carwin_vs_Team_Nelson
8,Hugo Viana,Reuben Duran,The_Ultimate_Fighter_Team_Carwin_vs_Team_Nelson
9,Mike Rio,John Cofer,The_Ultimate_Fighter_Team_Carwin_vs_Team_Nelson
10,Tim Elliott,Jared Papazian,The_Ultimate_Fighter_Team_Carwin_vs_Team_Nelson
