,winner,loser,weight_class,event
0,Jonathan Brookins,Michael Johnson,Lightweight,The_Ultimate_Fighter_Team_GSP_vs_Team_Koscheck_Finale
1,Stephan Bonnar,Igor Pokrajac,Light Heavyweight,The_Ultimate_Fighter_Team_GSP_vs_Team_Koscheck_Finale
2,Demian Maia,Kendall Grove,Middleweight,The_Ultimate_Fighter_Team_GSP_vs_Team_Koscheck_Finale
3,Rick Story,Johny Hendricks,Welterweight,The_Ultimate_Fighter_Team_GSP_vs_Team_Koscheck_Finale
4,Leonard Garcia,Nam Phan,Featherweight,The_Ultimate_Fighter_Team_GSP_vs_Team_Koscheck_Finale
5,Cody McKenzie,Aaron Wilkinson,Lightweight,The_Ultimate_Fighter_Team_GSP_vs_Team_Koscheck_Finale
6,Ian Loveland,Tyler Toner,Featherweight,The_Ultimate_Fighter_Team_GSP_vs_Team_Koscheck_Finale
7,Kyle Watson,Sako Chivitchian,Lightweight,The_Ultimate_Fighter_Team_GSP_vs_Team_Koscheck_Finale
8,Nick Pace,Will Campuzano,Catchweight (138 lbs),The_Ultimate_Fighter_Team_GSP_vs_Team_Koscheck_Finale
9,Pablo Garza,Fredson Paix\xc3\xa3o,Featherweight,The_Ultimate_Fighter_Team_GSP_vs_Team_Koscheck_Finale
10,David Branch,Rich Attonito,Middleweight,The_Ultimate_Fighter_Team_GSP_vs_Team_Koscheck_Finale
