,winner,loser,event
0,Urijah Faber,Scott Jorgensen,The_Ultimate_Fighter_Team_Jones_vs_Team_Sonnen
1,Kelvin Gastelum,Uriah Hall,The_Ultimate_Fighter_Team_Jones_vs_Team_Sonnen
2,Cat Zingano,Miesha Tate,The_Ultimate_Fighter_Team_Jones_vs_Team_Sonnen
3,Travis Browne,Gabriel Gonzaga,The_Ultimate_Fighter_Team_Jones_vs_Team_Sonnen
4,Bubba McDaniel,Gilbert Smith,The_Ultimate_Fighter_Team_Jones_vs_Team_Sonnen
5,Josh Samman,Kevin Casey,The_Ultimate_Fighter_Team_Jones_vs_Team_Sonnen
6,Luke Barnatt,Collin Hart,The_Ultimate_Fighter_Team_Jones_vs_Team_Sonnen
7,Dylan Andrews,Jimmy Quinlan,The_Ultimate_Fighter_Team_Jones_vs_Team_Sonnen
8,Clint Hester,Bristol Marunde,The_Ultimate_Fighter_Team_Jones_vs_Team_Sonnen
9,Cole Miller,Bart Palaszewski,The_Ultimate_Fighter_Team_Jones_vs_Team_Sonnen
10,Maximo Blanco,Sam Sicilia,The_Ultimate_Fighter_Team_Jones_vs_Team_Sonnen
11,Daniel Pineda,Justin Lawrence,The_Ultimate_Fighter_Team_Jones_vs_Team_Sonnen
