,winner,loser,weight_class,event
0,Court McGee,Kris McCray,Middleweight,The_Ultimate_Fighter_Team_Liddell_vs_Team_Ortiz_Finale
1,Matt Hamill,Keith Jardine,Light Heavyweight,The_Ultimate_Fighter_Team_Liddell_vs_Team_Ortiz_Finale
2,Chris Leben,Aaron Simpson,Middleweight,The_Ultimate_Fighter_Team_Liddell_vs_Team_Ortiz_Finale
3,Dennis Siver,Spencer Fisher,Lightweight,The_Ultimate_Fighter_Team_Liddell_vs_Team_Ortiz_Finale
4,Rich Attonito,Jamie Yager,Middleweight,The_Ultimate_Fighter_Team_Liddell_vs_Team_Ortiz_Finale
5,John Gunderson,Mark Holst,Lightweight,The_Ultimate_Fighter_Team_Liddell_vs_Team_Ortiz_Finale
6,Brad Tavares,Seth Baczynski,Middleweight,The_Ultimate_Fighter_Team_Liddell_vs_Team_Ortiz_Finale
7,Kyle Noke,Josh Bryant,Middleweight,The_Ultimate_Fighter_Team_Liddell_vs_Team_Ortiz_Finale
8,Chris Camozzi,James Hammortree,Middleweight,The_Ultimate_Fighter_Team_Liddell_vs_Team_Ortiz_Finale
9,Travis Browne,James McSweeney,Heavyweight,The_Ultimate_Fighter_Team_Liddell_vs_Team_Ortiz_Finale
