,winner,loser,weight_class,event
0,Efrain Escudero,Phillipe Nover,Lightweight,The_Ultimate_Fighter_Team_Nogueira_vs_Team_Mir_Finale
1,Ryan Bader,Vinny Magalh\xc3\xa3es,Light Heavyweight,The_Ultimate_Fighter_Team_Nogueira_vs_Team_Mir_Finale
2,Anthony Johnson,Kevin Burns,Welterweight,The_Ultimate_Fighter_Team_Nogueira_vs_Team_Mir_Finale
3,Wilson Gouveia,Jason MacDonald,Catchweight (189 lbs),The_Ultimate_Fighter_Team_Nogueira_vs_Team_Mir_Finale
4,Junie Browning,Dave Kaplan,Lightweight,The_Ultimate_Fighter_Team_Nogueira_vs_Team_Mir_Finale
5,Krzysztof Soszynski,Shane Primm,Light Heavyweight,The_Ultimate_Fighter_Team_Nogueira_vs_Team_Mir_Finale
6,Eliot Marshall,Jules Bruchez,Light Heavyweight,The_Ultimate_Fighter_Team_Nogueira_vs_Team_Mir_Finale
7,Tom Lawlor,Kyle Kingsbury,Light Heavyweight,The_Ultimate_Fighter_Team_Nogueira_vs_Team_Mir_Finale
8,Shane Nelson,George Roop,Lightweight,The_Ultimate_Fighter_Team_Nogueira_vs_Team_Mir_Finale
9,Rolando Delgado,John Polakowski,Lightweight,The_Ultimate_Fighter_Team_Nogueira_vs_Team_Mir_Finale
