,winner,loser,event
0,Kendall Grove,Evan Tanner,The_Ultimate_Fighter_Team_Rampage_vs_Team_Forrest_Finale
1,Amir Sadollah,C.B. Dollaway,The_Ultimate_Fighter_Team_Rampage_vs_Team_Forrest_Finale
2,Diego Sanchez,Luigi Fioravanti,The_Ultimate_Fighter_Team_Rampage_vs_Team_Forrest_Finale
3,Spencer Fisher,Jeremy Stephens,The_Ultimate_Fighter_Team_Rampage_vs_Team_Forrest_Finale
4,Matthew Riddle,Dante Rivera,The_Ultimate_Fighter_Team_Rampage_vs_Team_Forrest_Finale
5,Dustin Hazelett,Josh Burkman,The_Ultimate_Fighter_Team_Rampage_vs_Team_Forrest_Finale
6,Drew McFedries,Marvin Eastman,The_Ultimate_Fighter_Team_Rampage_vs_Team_Forrest_Finale
7,Matt Brown,Matt Arroyo,The_Ultimate_Fighter_Team_Rampage_vs_Team_Forrest_Finale
8,Dean Lister,Jeremy Horn,The_Ultimate_Fighter_Team_Rampage_vs_Team_Forrest_Finale
9,Rob Kimmons,Rob Yundt,The_Ultimate_Fighter_Team_Rampage_vs_Team_Forrest_Finale
