,winner,loser,weight_class,event
0,Nate Diaz,Gray Maynard,Lightweight,The_Ultimate_Fighter_Team_Rousey_vs_Team_Tate
1,Julianna Pe\xc3\xb1a,Jessica Rakoczy,Women\'s Bantamweight,The_Ultimate_Fighter_Team_Rousey_vs_Team_Tate
2,Chris Holdsworth,Davey Grant,Bantamweight,The_Ultimate_Fighter_Team_Rousey_vs_Team_Tate
3,Jessamyn Duke,Peggy Morgan,Women\'s Bantamweight,The_Ultimate_Fighter_Team_Rousey_vs_Team_Tate
4,Raquel Pennington,Roxanne Modafferi,Women\'s Bantamweight,The_Ultimate_Fighter_Team_Rousey_vs_Team_Tate
5,Akira Corassani,Maximo Blanco,Featherweight,The_Ultimate_Fighter_Team_Rousey_vs_Team_Tate
6,Tom Niinim\xc3\xa4ki,Rani Yahya,Featherweight,The_Ultimate_Fighter_Team_Rousey_vs_Team_Tate
7,Jared Rosholt,Walt Harris,Heavyweight,The_Ultimate_Fighter_Team_Rousey_vs_Team_Tate
8,Sean Spencer,Drew Dober,Welterweight,The_Ultimate_Fighter_Team_Rousey_vs_Team_Tate
9,Josh Sampo,Ryan Benoit,Catchweight (127.5 lbs),The_Ultimate_Fighter_Team_Rousey_vs_Team_Tate
