,winner,loser,weight_class,event
0,Demetrious Johnson (c),Tim Elliott,Flyweight,The_Ultimate_Fighter_Tournament_of_Champions
1,Joseph Benavidez,Henry Cejudo,Flyweight,The_Ultimate_Fighter_Tournament_of_Champions
2,Jorge Masvidal,Jake Ellenberger,Welterweight,The_Ultimate_Fighter_Tournament_of_Champions
3,Jared Cannonier,Ion Cu\xc8\x9belaba,Light Heavyweight,The_Ultimate_Fighter_Tournament_of_Champions
4,Sara McMann,Alexis Davis,Women\'s Bantamweight,The_Ultimate_Fighter_Tournament_of_Champions
5,Brandon Moreno,Ryan Benoit,Flyweight,The_Ultimate_Fighter_Tournament_of_Champions
6,Ryan Hall,Gray Maynard,Featherweight,The_Ultimate_Fighter_Tournament_of_Champions
7,Rob Font,Matt Schnell,Bantamweight,The_Ultimate_Fighter_Tournament_of_Champions
8,Dong Hyun Ma,Brendan O\'Reilly,Lightweight,The_Ultimate_Fighter_Tournament_of_Champions
9,Jamie Moyle,Kailin Curran,Women\'s Strawweight,The_Ultimate_Fighter_Tournament_of_Champions
10,Anthony Smith,Elvis Mutapcic,Middleweight,The_Ultimate_Fighter_Tournament_of_Champions
11,Devin Clark,Josh Stansbury,Light Heavyweight,The_Ultimate_Fighter_Tournament_of_Champions
