,winner,loser,event
0,Diego Sanchez,Clay Guida,The_Ultimate_Fighter_United_States_vs_United_Kingdom_Finale
1,James Wilks,DaMarques Johnson,The_Ultimate_Fighter_United_States_vs_United_Kingdom_Finale
2,Ross Pearson,Andre Winner,The_Ultimate_Fighter_United_States_vs_United_Kingdom_Finale
3,Chris Lytle,Kevin Burns,The_Ultimate_Fighter_United_States_vs_United_Kingdom_Finale
4,Joe Stevenson,Nate Diaz,The_Ultimate_Fighter_United_States_vs_United_Kingdom_Finale
5,Melvin Guillard,Gleison Tibau,The_Ultimate_Fighter_United_States_vs_United_Kingdom_Finale
6,Brad Blackburn,Edgar Garcia,The_Ultimate_Fighter_United_States_vs_United_Kingdom_Finale
7,Tomasz Drwal,Mike Ciesnolevicz,The_Ultimate_Fighter_United_States_vs_United_Kingdom_Finale
8,Nick Osipczak,Frank Lester,The_Ultimate_Fighter_United_States_vs_United_Kingdom_Finale
9,Jason Dent,Cameron Dollar,The_Ultimate_Fighter_United_States_vs_United_Kingdom_Finale
