,winner,loser,event
0,Henry Cejudo,Marlon Moraes,UFC_238
1,Valentina Shevchenko (c),Jessica Eye,UFC_238
2,Tony Ferguson,Donald Cerrone,UFC_238
3,Petr Yan,Jimmie Rivera,UFC_238
4,Blagoy Ivanov,Tai Tuivasa,UFC_238
5,Tatiana Suarez,Nina Ansaroff,UFC_238
6,Aljamain Sterling,Pedro Munhoz,UFC_238
7,Alexa Grasso,Karolina Kowalkiewicz,UFC_238
8,Calvin Kattar,Ricardo Lamas,UFC_238
9,Xiaonan Yan,Angela Hill,UFC_238
10,Darren Stewart,Bevon Lewis,UFC_238
11,Eddie Wineland,Grigory Popov,UFC_238
12,Katlyn Chookagian,Joanne Calderwood,UFC_238
