,winner,loser,weight_class,event
0,Cody Garbrandt,Thomas Almeida,Bantamweight,UFC_Fight_Night_Almeida_vs_Garbrandt
1,Jeremy Stephens,Renan Bar\xc3\xa3o,Featherweight,UFC_Fight_Night_Almeida_vs_Garbrandt
2,Rick Story,Tarec Saffiedine,Welterweight,UFC_Fight_Night_Almeida_vs_Garbrandt
3,Chris Camozzi,Vitor Miranda,Middleweight,UFC_Fight_Night_Almeida_vs_Garbrandt
4,Lorenz Larkin,Jorge Masvidal,Welterweight,UFC_Fight_Night_Almeida_vs_Garbrandt
5,Paul Felder,Josh Burkman,Lightweight,UFC_Fight_Night_Almeida_vs_Garbrandt
6,Sara McMann,Jessica Eye,Women\'s Bantamweight,UFC_Fight_Night_Almeida_vs_Garbrandt
7,Abel Trujillo,Jordan Rinaldi,Lightweight,UFC_Fight_Night_Almeida_vs_Garbrandt
8,Jake Collier,Alberto Uda,Middleweight,UFC_Fight_Night_Almeida_vs_Garbrandt
9,Erik Koch,Shane Campbell,Lightweight,UFC_Fight_Night_Almeida_vs_Garbrandt
10,Bryan Caraway,Aljamain Sterling,Bantamweight,UFC_Fight_Night_Almeida_vs_Garbrandt
11,Adam Milstead,Chris de la Rocha,Heavyweight,UFC_Fight_Night_Almeida_vs_Garbrandt
