,winner,loser,weight_class,event
0,Zhang Weili,J\xc3\xa9ssica Andrade (c),Women\'s Strawweight,UFC_Fight_Night_Andrade_vs_Zhang
1,Li Jingliang,Elizeu Zaleski dos Santos,Welterweight,UFC_Fight_Night_Andrade_vs_Zhang
2,Kai Kara-France,Mark De La Rosa,Flyweight,UFC_Fight_Night_Andrade_vs_Zhang
3,Song Kenan,Derrick Krantz,Welterweight,UFC_Fight_Night_Andrade_vs_Zhang
4,Mizuki Inoue,Wu Yanan,Catchweight (129 lbs),UFC_Fight_Night_Andrade_vs_Zhang
5,Anthony Hernandez,Jun Yong Park,Middleweight,UFC_Fight_Night_Andrade_vs_Zhang
6,Su Mudaerji,Andre Soukhamthath,Bantamweight,UFC_Fight_Night_Andrade_vs_Zhang
7,Da Un Jung,Khadis Ibragimov,Light Heavyweight,UFC_Fight_Night_Andrade_vs_Zhang
8,Damir Ismagulov,Thiago Mois\xc3\xa9s,Lightweight,UFC_Fight_Night_Andrade_vs_Zhang
9,Heili Alateng,Danaa Batgerel,Bantamweight,UFC_Fight_Night_Andrade_vs_Zhang
10,Karolline Rosa Cavedo,Lara Fritzen Proc\xc3\xb3pio,Women\'s Bantamweight,UFC_Fight_Night_Andrade_vs_Zhang
