,winner,loser,event
0,Marlon Moraes,Raphael Assun\xc3\xa7\xc3\xa3o,UFC_Fight_Night_Assunção_vs_Moraes_2
1,Jos\xc3\xa9 Aldo,Renato Moicano,UFC_Fight_Night_Assunção_vs_Moraes_2
2,Demian Maia,Lyman Good,UFC_Fight_Night_Assunção_vs_Moraes_2
3,Charles Oliveira,David Teymur,UFC_Fight_Night_Assunção_vs_Moraes_2
4,Johnny Walker,Justin Ledet,UFC_Fight_Night_Assunção_vs_Moraes_2
5,L\xc3\xadvia Renata Souza,Sarah Frota,UFC_Fight_Night_Assunção_vs_Moraes_2
6,Markus Perez,Anthony Hernandez,UFC_Fight_Night_Assunção_vs_Moraes_2
7,Mara Romero Borella,Taila Santos,UFC_Fight_Night_Assunção_vs_Moraes_2
8,Thiago Alves,Max Griffin,UFC_Fight_Night_Assunção_vs_Moraes_2
9,Jairzinho Rozenstruik,J\xc3\xbanior Albini,UFC_Fight_Night_Assunção_vs_Moraes_2
10,Geraldo de Freitas,Felipe Colares,UFC_Fight_Night_Assunção_vs_Moraes_2
11,Said Nurmagomedov,Ricardo Ramos,UFC_Fight_Night_Assunção_vs_Moraes_2
12,Rog\xc3\xa9rio Bontorin,Magomed Bibulatov,UFC_Fight_Night_Assunção_vs_Moraes_2
