,winner,loser,event
0,Ryan Bader,Ant\xc3\xb4nio Rog\xc3\xa9rio Nogueira,UFC_Fight_Night_Bader_vs_Nogueira_2
1,Thomas Almeida,Albert Morales,UFC_Fight_Night_Bader_vs_Nogueira_2
2,Cl\xc3\xa1udia Gadelha,Cortney Casey,UFC_Fight_Night_Bader_vs_Nogueira_2
3,Krzysztof Jotko,Thales Leites,UFC_Fight_Night_Bader_vs_Nogueira_2
4,Kamaru Usman,Warlley Alves,UFC_Fight_Night_Bader_vs_Nogueira_2
5,S\xc3\xa9rgio Moraes,Zak Ottow,UFC_Fight_Night_Bader_vs_Nogueira_2
6,Cezar Ferreira,Jack Hermansson,UFC_Fight_Night_Bader_vs_Nogueira_2
7,Gadzhimurad Antigulov,Marcos Rog\xc3\xa9rio de Lima,UFC_Fight_Night_Bader_vs_Nogueira_2
8,Johnny Eduardo,Manvel Gamburyan,UFC_Fight_Night_Bader_vs_Nogueira_2
9,Luis Henrique,Christian Colombo,UFC_Fight_Night_Bader_vs_Nogueira_2
10,Pedro Munhoz,Justin Scoggins,UFC_Fight_Night_Bader_vs_Nogueira_2
11,Darren Stewart,Francimar Barroso,UFC_Fight_Night_Bader_vs_Nogueira_2
