,winner,loser,weight_class,event
0,Kevin Lee,Edson Barboza,Catchweight (157 lbs),UFC_Fight_Night_Barboza_vs_Lee
1,Frankie Edgar,Cub Swanson,Featherweight,UFC_Fight_Night_Barboza_vs_Lee
2,Justin Willis,Chase Sherman,Heavyweight,UFC_Fight_Night_Barboza_vs_Lee
3,David Branch,Thiago Santos,Middleweight,UFC_Fight_Night_Barboza_vs_Lee
4,Aljamain Sterling,Brett Johns,Bantamweight,UFC_Fight_Night_Barboza_vs_Lee
5,Dan Hooker,Jim Miller,Lightweight,UFC_Fight_Night_Barboza_vs_Lee
6,Ryan LaFlare,Alex Garcia,Welterweight,UFC_Fight_Night_Barboza_vs_Lee
7,Ricky Simon,Merab Dvalishvili,Bantamweight,UFC_Fight_Night_Barboza_vs_Lee
8,Siyar Bahadurzada,Luan Chagas,Welterweight,UFC_Fight_Night_Barboza_vs_Lee
9,Corey Anderson,Patrick Cummins,Light Heavyweight,UFC_Fight_Night_Barboza_vs_Lee
10,Tony Martin,Keita Nakamura,Welterweight,UFC_Fight_Night_Barboza_vs_Lee
