,winner,loser,weight_class,event
0,Josh Barnett,Roy Nelson,Heavyweight,UFC_Fight_Night_Barnett_vs_Nelson
1,Uriah Hall,Gegard Mousasi,Middleweight,UFC_Fight_Night_Barnett_vs_Nelson
2,Kyoji Horiguchi,Chico Camus,Flyweight,UFC_Fight_Night_Barnett_vs_Nelson
3,Takeya Mizugaki,George Roop,Bantamweight,UFC_Fight_Night_Barnett_vs_Nelson
4,Diego Brandao,Katsunori Kikuno,Featherweight,UFC_Fight_Night_Barnett_vs_Nelson
5,Mizuto Hirota,Teruto Ishihara,Featherweight,UFC_Fight_Night_Barnett_vs_Nelson
6,Keita Nakamura,Li Jingliang,Welterweight,UFC_Fight_Night_Barnett_vs_Nelson
7,Nick Hein,Yusuke Kasuya,Lightweight,UFC_Fight_Night_Barnett_vs_Nelson
8,Kajan Johnson,Naoyuki Kotani,Lightweight,UFC_Fight_Night_Barnett_vs_Nelson
9,Shinsho Anzai,Roger Zapata,Welterweight,UFC_Fight_Night_Barnett_vs_Nelson
