,winner,loser,weight_class,event
0,Deiveson Figueiredo,Joseph Benavidez,Catchweight (127.5 lbs),UFC_Fight_Night_Benavidez_vs_Figueiredo
1,Felicia Spencer,Zarah Fairn dos Santos,Women\'s Featherweight,UFC_Fight_Night_Benavidez_vs_Figueiredo
2,Magomed Ankalaev,Ion Cu\xc8\x9belaba,Light Heavyweight,UFC_Fight_Night_Benavidez_vs_Figueiredo
3,Megan Anderson,Norma Dumont Viana,Women\'s Featherweight,UFC_Fight_Night_Benavidez_vs_Figueiredo
4,Grant Dawson,Darrick Minner,Catchweight (149.5 lbs),UFC_Fight_Night_Benavidez_vs_Figueiredo
5,Kyler Phillips,Gabriel Silva,Bantamweight,UFC_Fight_Night_Benavidez_vs_Figueiredo
6,Brendan Allen,Tom Breese,Middleweight,UFC_Fight_Night_Benavidez_vs_Figueiredo
7,Marcin Tybura,Sergey Spivak,Heavyweight,UFC_Fight_Night_Benavidez_vs_Figueiredo
8,Luis Pe\xc3\xb1a,Steve Garcia,Lightweight,UFC_Fight_Night_Benavidez_vs_Figueiredo
9,Jordan Griffin,T.J. Brown,Featherweight,UFC_Fight_Night_Benavidez_vs_Figueiredo
10,Spike Carlyle,Aalon Cruz,Featherweight,UFC_Fight_Night_Benavidez_vs_Figueiredo
11,Sean Brady,Ismail Naurdiev,Welterweight,UFC_Fight_Night_Benavidez_vs_Figueiredo
