,winner,loser,weight_class,event
0,Kelvin Gastelum,Michael Bisping,Middleweight,UFC_Fight_Night_Bisping_vs_Gastelum
1,Li Jingliang,Zak Ottow,Welterweight,UFC_Fight_Night_Bisping_vs_Gastelum
2,Wang Guan,Alex Caceres,Featherweight,UFC_Fight_Night_Bisping_vs_Gastelum
3,Alex Garcia,Muslim Salikhov,Welterweight,UFC_Fight_Night_Bisping_vs_Gastelum
4,Zabit Magomedsharipov,Sheymon Moraes,Featherweight,UFC_Fight_Night_Bisping_vs_Gastelum
5,Song Kenan,Bobby Nash,Welterweight,UFC_Fight_Night_Bisping_vs_Gastelum
6,Yan Xiaonan,Kailin Curran,Women\'s Strawweight,UFC_Fight_Night_Bisping_vs_Gastelum
7,Song Yadong,Bharat Kandare,Featherweight,UFC_Fight_Night_Bisping_vs_Gastelum
8,Shamil Abdurakhimov,Chase Sherman,Heavyweight,UFC_Fight_Night_Bisping_vs_Gastelum
9,Gina Mazany,Wu Yanan,Women\'s Bantamweight,UFC_Fight_Night_Bisping_vs_Gastelum
10,Rolando Dy,Wuliji Buren,Catchweight (148 lbs),UFC_Fight_Night_Bisping_vs_Gastelum
11,Cyril Asker,Hu Yaozong,Heavyweight,UFC_Fight_Night_Bisping_vs_Gastelum
