,winner,loser,event
0,Michael Bisping,Cung Le,UFC_Fight_Night_Bisping_vs_Le
1,Tyron Woodley,Dong Hyun Kim,UFC_Fight_Night_Bisping_vs_Le
2,Zhang Lipeng,Brendan O\'Reilly,UFC_Fight_Night_Bisping_vs_Le
3,Ning Guangyou,Jianping Yang,UFC_Fight_Night_Bisping_vs_Le
4,Wang Sai,Danny Mitchell,UFC_Fight_Night_Bisping_vs_Le
5,Alberto Mina,Shinsho Anzai,UFC_Fight_Night_Bisping_vs_Le
6,Yuta Sasaki,Roland Delorme,UFC_Fight_Night_Bisping_vs_Le
7,Colby Covington,Anying Wang,UFC_Fight_Night_Bisping_vs_Le
8,Royston Wee,Yao Zhikui,UFC_Fight_Night_Bisping_vs_Le
9,Milana Dudieva,Elizabeth Phillips,UFC_Fight_Night_Bisping_vs_Le
