,winner,loser,event
0,Michael Bisping,Thales Leites,UFC_Fight_Night_Bisping_vs_Leites
1,Evan Dunham,Ross Pearson,UFC_Fight_Night_Bisping_vs_Leites
2,Joseph Duffy,Ivan Jorge,UFC_Fight_Night_Bisping_vs_Leites
3,Joanne Calderwood,Cortney Casey,UFC_Fight_Night_Bisping_vs_Leites
4,Leon Edwards,Pawel Pawlak,UFC_Fight_Night_Bisping_vs_Leites
5,Stevie Ray,Leonardo Mafra,UFC_Fight_Night_Bisping_vs_Leites
6,Paddy Holohan,Vaughan Lee,UFC_Fight_Night_Bisping_vs_Leites
7,Ilir Latifi,Hans Stringer,UFC_Fight_Night_Bisping_vs_Leites
8,Micka\xc3\xabl Lebout,Teemu Packal\xc3\xa9n,UFC_Fight_Night_Bisping_vs_Leites
9,Robert Whiteford,Paul Redmond,UFC_Fight_Night_Bisping_vs_Leites
10,Jimmie Rivera,Marcus Brimage,UFC_Fight_Night_Bisping_vs_Leites
11,Daniel Omiela\xc5\x84czuk,Chris de la Rocha,UFC_Fight_Night_Bisping_vs_Leites
