,winner,loser,event
0,Carlos Condit,Thiago Alves,UFC_Fight_Night_Condit_vs_Alves
1,Charles Oliveira,Nik Lentz,UFC_Fight_Night_Condit_vs_Alves
2,Alex Oliveira,K.J. Noons,UFC_Fight_Night_Condit_vs_Alves
3,Francimar Barroso,Ryan Jimmo,UFC_Fight_Night_Condit_vs_Alves
4,Francisco Trinaldo,Norman Parke,UFC_Fight_Night_Condit_vs_Alves
5,Darren Till,Wendell Oliveira,UFC_Fight_Night_Condit_vs_Alves
6,Rony Jason,Damon Jackson,UFC_Fight_Night_Condit_vs_Alves
7,Jussier Formiga,Wilson Reis,UFC_Fight_Night_Condit_vs_Alves
8,Nicolas Dalby,Elizeu Zaleski dos Santos,UFC_Fight_Night_Condit_vs_Alves
9,Mirsad Bekti\xc4\x87,Lucas Martins,UFC_Fight_Night_Condit_vs_Alves
10,Juliana Lima,Ericka Almeida,UFC_Fight_Night_Condit_vs_Alves
11,Tom Breese,Luiz Dutra Jr.,UFC_Fight_Night_Condit_vs_Alves
