,winner,loser,weight_class,event
0,Martin Kampmann,Carlos Condit,Welterweight,UFC_Fight_Night_Condit_vs_Kampmann
1,Ryan Bader,Carmelo Marrero,Light Heavyweight,UFC_Fight_Night_Condit_vs_Kampmann
2,Tyson Griffin,Rafael dos Anjos,Lightweight,UFC_Fight_Night_Condit_vs_Kampmann
3,Cole Miller,Junie Browning,Lightweight,UFC_Fight_Night_Condit_vs_Kampmann
4,Gleison Tibau,Jeremy Stephens,Catchweight (158 lbs),UFC_Fight_Night_Condit_vs_Kampmann
5,Ricardo Almeida,Matt Horwich,Middleweight,UFC_Fight_Night_Condit_vs_Kampmann
6,Brock Larson,Jesse Sanders,Welterweight,UFC_Fight_Night_Condit_vs_Kampmann
7,Tim Credeur,Nick Catone,Middleweight,UFC_Fight_Night_Condit_vs_Kampmann
8,Jorge Rivera,Nissen Osterneck,Middleweight,UFC_Fight_Night_Condit_vs_Kampmann
9,Rob Kimmons,Joe Vedepo,Middleweight,UFC_Fight_Night_Condit_vs_Kampmann
10,Aaron Simpson,Tim McKenzie,Middleweight,UFC_Fight_Night_Condit_vs_Kampmann
