,winner,loser,event
0,Donald Cerrone,Alex Oliveira,UFC_Fight_Night_Cowboy_vs_Cowboy
1,Derek Brunson,Roan Carneiro,UFC_Fight_Night_Cowboy_vs_Cowboy
2,Cody Garbrandt,Augusto Mendes,UFC_Fight_Night_Cowboy_vs_Cowboy
3,Dennis Bermudez,Tatsuya Kawajiri,UFC_Fight_Night_Cowboy_vs_Cowboy
4,Chris Camozzi,Joe Riggs,UFC_Fight_Night_Cowboy_vs_Cowboy
5,James Krause,Shane Campbell,UFC_Fight_Night_Cowboy_vs_Cowboy
6,Sean Strickland,Alex Garcia,UFC_Fight_Night_Cowboy_vs_Cowboy
7,Oluwale Bamgbose,Daniel Sarafian,UFC_Fight_Night_Cowboy_vs_Cowboy
8,Anthony Smith,Leonardo Augusto Guimar\xc3\xa3es,UFC_Fight_Night_Cowboy_vs_Cowboy
9,Nathan Coy,Jonavin Webb,UFC_Fight_Night_Cowboy_vs_Cowboy
10,Ashlee Evans-Smith,Marion Reneau,UFC_Fight_Night_Cowboy_vs_Cowboy
11,Lauren Murphy,Kelly Faszholz,UFC_Fight_Night_Cowboy_vs_Cowboy
12,Shamil Abdurakhimov,Anthony Hamilton,UFC_Fight_Night_Cowboy_vs_Cowboy
