,winner,loser,event
0,Donald Cerrone,Jim Miller,UFC_Fight_Night_Cowboy_vs_Miller
1,Edson Barboza,Evan Dunham,UFC_Fight_Night_Cowboy_vs_Miller
2,Rick Story,Leonardo Mafra,UFC_Fight_Night_Cowboy_vs_Miller
3,Joe Proctor,Justin Salas,UFC_Fight_Night_Cowboy_vs_Miller
4,John Lineker,Alptekin \xc3\x96zk\xc4\xb1l\xc4\xb1\xc3\xa7,UFC_Fight_Night_Cowboy_vs_Miller
5,Lucas Martins,Alex White,UFC_Fight_Night_Cowboy_vs_Miller
6,Gleison Tibau,Pat Healy,UFC_Fight_Night_Cowboy_vs_Miller
7,Leslie Smith,Jessamyn Duke,UFC_Fight_Night_Cowboy_vs_Miller
8,Aljamain Sterling,Hugo Viana,UFC_Fight_Night_Cowboy_vs_Miller
9,Yosdenis Cedeno,Jerrod Sanders,UFC_Fight_Night_Cowboy_vs_Miller
10,Cl\xc3\xa1udia Gadelha,Tina L\xc3\xa4hdem\xc3\xa4ki,UFC_Fight_Night_Cowboy_vs_Miller
