,winner,loser,event
0,Darren Till,Donald Cerrone,UFC_Fight_Night_Cowboy_vs_Till
1,Karolina Kowalkiewicz,Jodie Esquibel,UFC_Fight_Night_Cowboy_vs_Till
2,Jan B\xc5\x82achowicz,Devin Clark,UFC_Fight_Night_Cowboy_vs_Till
3,Oskar Piechota,Jonathan Wilson,UFC_Fight_Night_Cowboy_vs_Till
4,Marcin Held,Nasrat Haqparast,UFC_Fight_Night_Cowboy_vs_Till
5,Brian Kelleher,Damian Stasiak,UFC_Fight_Night_Cowboy_vs_Till
6,Ramazan Emeev,Sam Alvey,UFC_Fight_Night_Cowboy_vs_Till
7,Andre Fili,Artem Lobov,UFC_Fight_Night_Cowboy_vs_Till
8,Warlley Alves,Salim Touahri,UFC_Fight_Night_Cowboy_vs_Till
9,Aspen Ladd,Lina L\xc3\xa4nsberg,UFC_Fight_Night_Cowboy_vs_Till
10,Josh Emmett,Felipe Arantes,UFC_Fight_Night_Cowboy_vs_Till
