,winner,loser,weight_class,event
0,Frankie Edgar,Urijah Faber,Featherweight,UFC_Fight_Night_Edgar_vs_Faber
1,Gegard Mousasi,Costas Philippou,Middleweight,UFC_Fight_Night_Edgar_vs_Faber
2,Mark Mu\xc3\xb1oz,Luke Barnatt,Middleweight,UFC_Fight_Night_Edgar_vs_Faber
3,Neil Magny,Hyun Gyu Lim,Welterweight,UFC_Fight_Night_Edgar_vs_Faber
4,Phillipe Nover,Yui Chul Nam,Featherweight,UFC_Fight_Night_Edgar_vs_Faber
5,Levan Makashvili,Mark Eddiva,Featherweight,UFC_Fight_Night_Edgar_vs_Faber
6,Jon Tuck,Tae Hyun Bang,Lightweight,UFC_Fight_Night_Edgar_vs_Faber
7,Kajan Johnson,Zhang Lipeng,Lightweight,UFC_Fight_Night_Edgar_vs_Faber
8,Li Jingliang,Dhiego Lima,Welterweight,UFC_Fight_Night_Edgar_vs_Faber
9,Ning Guangyou,Royston Wee,Catchweight (137 lbs),UFC_Fight_Night_Edgar_vs_Faber
10,Jon Delos Reyes,Roldan Sangcha-an,Flyweight,UFC_Fight_Night_Edgar_vs_Faber
11,Yao Zhikui,Nolan Ticman,Flyweight,UFC_Fight_Night_Edgar_vs_Faber
