,winner,loser,event
0,Dan Hooker,Paul Felder,UFC_Fight_Night_Felder_vs_Hooker
1,Jimmy Crute,Micha\xc5\x82 Oleksiejczuk,UFC_Fight_Night_Felder_vs_Hooker
2,Yan Xiaonan,Karolina Kowalkiewicz,UFC_Fight_Night_Felder_vs_Hooker
3,Marcos Rog\xc3\xa9rio de Lima,Ben Sosoli,UFC_Fight_Night_Felder_vs_Hooker
4,Brad Riddell,Magomed Mustafaev,UFC_Fight_Night_Felder_vs_Hooker
5,Zubaira Tukhugov,Kevin Aguilar,UFC_Fight_Night_Felder_vs_Hooker
6,Jalin Turner,Joshua Culibao,UFC_Fight_Night_Felder_vs_Hooker
7,Jake Matthews,Emil Weber Meek,UFC_Fight_Night_Felder_vs_Hooker
8,Song Kenan,Callan Potter,UFC_Fight_Night_Felder_vs_Hooker
9,Kai Kara-France,Tyson Nam,UFC_Fight_Night_Felder_vs_Hooker
10,Angela Hill,Loma Lookboonmee,UFC_Fight_Night_Felder_vs_Hooker
11,Priscila Cachoeira,Shana Dobson,UFC_Fight_Night_Felder_vs_Hooker
