,winner,loser,weight_class,event
0,Kenny Florian,Joe Lauzon,Lightweight,UFC_Fight_Night_Florian_vs_Lauzon
1,Gray Maynard,Frankie Edgar,Lightweight,UFC_Fight_Night_Florian_vs_Lauzon
2,Thiago Alves,Karo Parisyan,Welterweight,UFC_Fight_Night_Florian_vs_Lauzon
3,Matt Hamill,Tim Boetsch,Light Heavyweight,UFC_Fight_Night_Florian_vs_Lauzon
4,Nate Diaz,Kurt Pellegrino,Lightweight,UFC_Fight_Night_Florian_vs_Lauzon
5,James Irvin,Houston Alexander,Light Heavyweight,UFC_Fight_Night_Florian_vs_Lauzon
6,Josh Neer,Din Thomas,Lightweight,UFC_Fight_Night_Florian_vs_Lauzon
7,Marcus Aurelio,Ryan Roberts,Lightweight,UFC_Fight_Night_Florian_vs_Lauzon
8,Manvel Gamburyan,Jeff Cox,Lightweight,UFC_Fight_Night_Florian_vs_Lauzon
9,Clay Guida,Samy Schiavo,Lightweight,UFC_Fight_Night_Florian_vs_Lauzon
10,George Sotiropoulos,Roman Mitichyan,Welterweight,UFC_Fight_Night_Florian_vs_Lauzon
11,Anthony Johnson,Tom Speer,Welterweight,UFC_Fight_Night_Florian_vs_Lauzon
