,winner,loser,event
0,Justin Gaethje,James Vick,UFC_Fight_Night_Gaethje_vs_Vick
1,Michael Johnson,Andre Fili,UFC_Fight_Night_Gaethje_vs_Vick
2,Cortney Casey,Angela Hill,UFC_Fight_Night_Gaethje_vs_Vick
3,Bryan Barberena,Jake Ellenberger,UFC_Fight_Night_Gaethje_vs_Vick
4,Deiveson Figueiredo,John Moraga,UFC_Fight_Night_Gaethje_vs_Vick
5,Eryk Anders,Tim Williams,UFC_Fight_Night_Gaethje_vs_Vick
6,James Krause,Warlley Alves,UFC_Fight_Night_Gaethje_vs_Vick
7,Cory Sandhagen,Iuri Alc\xc3\xa2ntara,UFC_Fight_Night_Gaethje_vs_Vick
8,Andrew Sanchez,Markus Perez Echeimberg,UFC_Fight_Night_Gaethje_vs_Vick
9,Mickey Gall,George Sullivan,UFC_Fight_Night_Gaethje_vs_Vick
10,Joanne Calderwood,Kalindra Faria,UFC_Fight_Night_Gaethje_vs_Vick
11,Drew Dober,Jon Tuck,UFC_Fight_Night_Gaethje_vs_Vick
12,Rani Yahya,Luke Sanders,UFC_Fight_Night_Gaethje_vs_Vick
