,winner,loser,event
0,Benson Henderson,Brandon Thatch,UFC_Fight_Night_Henderson_vs_Thatch
1,Max Holloway,Cole Miller,UFC_Fight_Night_Henderson_vs_Thatch
2,Neil Magny,Kiichi Kunimoto,UFC_Fight_Night_Henderson_vs_Thatch
3,Dan Kelly,Patrick Walsh,UFC_Fight_Night_Henderson_vs_Thatch
4,Kevin Lee,Michel Prazeres,UFC_Fight_Night_Henderson_vs_Thatch
5,Ray Borg,Chris Kelades,UFC_Fight_Night_Henderson_vs_Thatch
6,Efrain Escudero,Rodrigo de Lima,UFC_Fight_Night_Henderson_vs_Thatch
7,Chas Skelly,Jim Alers,UFC_Fight_Night_Henderson_vs_Thatch
8,Zach Makovsky,Tim Elliott,UFC_Fight_Night_Henderson_vs_Thatch
9,James Moontasri,Cody Pfister,UFC_Fight_Night_Henderson_vs_Thatch
