,winner,loser,event
0,Rafael dos Anjos,Benson Henderson,UFC_Fight_Night_Henderson_vs_dos_Anjos
1,Jordan Mein,Mike Pyle,UFC_Fight_Night_Henderson_vs_dos_Anjos
2,Thales Leites,Francis Carmont,UFC_Fight_Night_Henderson_vs_dos_Anjos
3,Max Holloway,Clay Collard,UFC_Fight_Night_Henderson_vs_dos_Anjos
4,James Vick,Valmir Lazaro,UFC_Fight_Night_Henderson_vs_dos_Anjos
5,Chas Skelly,Tom Niinim\xc3\xa4ki,UFC_Fight_Night_Henderson_vs_dos_Anjos
6,Neil Magny,Alex Garcia,UFC_Fight_Night_Henderson_vs_dos_Anjos
7,Beneil Dariush,Tony Martin,UFC_Fight_Night_Henderson_vs_dos_Anjos
8,Matt Hobar,Aaron Phillips,UFC_Fight_Night_Henderson_vs_dos_Anjos
9,Ben Saunders,Chris Heatherly,UFC_Fight_Night_Henderson_vs_dos_Anjos
10,Wilson Reis,Joby Sanchez,UFC_Fight_Night_Henderson_vs_dos_Anjos
