,winner,loser,weight_class,event
0,Max Holloway,Charles Oliveira,Featherweight,UFC_Fight_Night_Holloway_vs_Oliveira
1,Neil Magny,Erick Silva,Welterweight,UFC_Fight_Night_Holloway_vs_Oliveira
2,Patrick C\xc3\xb4t\xc3\xa9,Josh Burkman,Welterweight,UFC_Fight_Night_Holloway_vs_Oliveira
3,Francisco Trinaldo,Chad Laprise,Lightweight,UFC_Fight_Night_Holloway_vs_Oliveira
4,Olivier Aubin-Mercier,Tony Sims,Lightweight,UFC_Fight_Night_Holloway_vs_Oliveira
5,Val\xc3\xa9rie L\xc3\xa9tourneau,Maryna Moroz,Women\'s Strawweight,UFC_Fight_Night_Holloway_vs_Oliveira
6,Frankie Perez,Sam Stout,Lightweight,UFC_Fight_Night_Holloway_vs_Oliveira
7,Felipe Arantes,Yves Jabouin,Bantamweight,UFC_Fight_Night_Holloway_vs_Oliveira
8,Nikita Krylov,Marcos Rog\xc3\xa9rio de Lima,Light Heavyweight,UFC_Fight_Night_Holloway_vs_Oliveira
9,Chris Kelades,Chris Beal,Flyweight,UFC_Fight_Night_Holloway_vs_Oliveira
10,Shane Campbell,Elias Silv\xc3\xa9rio,Lightweight,UFC_Fight_Night_Holloway_vs_Oliveira
11,Misha Cirkunov,Daniel Jolly,Light Heavyweight,UFC_Fight_Night_Holloway_vs_Oliveira
