,winner,loser,event
0,Holly Holm,Bethe Correia,UFC_Fight_Night_Holm_vs_Correia
1,Marcin Tybura,Andrei Arlovski,UFC_Fight_Night_Holm_vs_Correia
2,Colby Covington,Dong Hyun Kim,UFC_Fight_Night_Holm_vs_Correia
3,Rafael dos Anjos,Tarec Saffiedine,UFC_Fight_Night_Holm_vs_Correia
4,Jon Tuck,Takanori Gomi,UFC_Fight_Night_Holm_vs_Correia
5,Walt Harris,Cyril Asker,UFC_Fight_Night_Holm_vs_Correia
6,Alex Caceres,Rolando Dy,UFC_Fight_Night_Holm_vs_Correia
7,Ulka Sasaki,Justin Scoggins,UFC_Fight_Night_Holm_vs_Correia
8,Li Jingliang,Frank Camacho,UFC_Fight_Night_Holm_vs_Correia
9,Russell Doane,Kwan Ho Kwak,UFC_Fight_Night_Holm_vs_Correia
10,Naoki Inoue,Carls John de Tomas,UFC_Fight_Night_Holm_vs_Correia
11,Lucie Pudilov\xc3\xa1,Ji Yeon Kim,UFC_Fight_Night_Holm_vs_Correia
