,winner,loser,weight_class,event
0,Mark Hunt,Ant\xc3\xb4nio Silva,Heavyweight,UFC_Fight_Night_Hunt_vs_Bigfoot
1,Maur\xc3\xadcio Rua,James Te Huna,Light Heavyweight,UFC_Fight_Night_Hunt_vs_Bigfoot
2,Ryan Bader,Anthony Perosh,Light Heavyweight,UFC_Fight_Night_Hunt_vs_Bigfoot
3,Soa Palelei,Pat Barry,Heavyweight,UFC_Fight_Night_Hunt_vs_Bigfoot
4,Clint Hester,Dylan Andrews,Middleweight,UFC_Fight_Night_Hunt_vs_Bigfoot
5,Bethe Correia,Julie Kedzie,Women\'s Bantamweight,UFC_Fight_Night_Hunt_vs_Bigfoot
6,Takeya Mizugaki,Nam Phan,Bantamweight,UFC_Fight_Night_Hunt_vs_Bigfoot
7,Caio Magalhaes,Nick Ring,Middleweight,UFC_Fight_Night_Hunt_vs_Bigfoot
8,Justin Scoggins,Richie Vaculik,Flyweight,UFC_Fight_Night_Hunt_vs_Bigfoot
9,Krzysztof Jotko,Bruno Santos,Middleweight,UFC_Fight_Night_Hunt_vs_Bigfoot
10,Alex Garcia,Ben Wall,Welterweight,UFC_Fight_Night_Hunt_vs_Bigfoot
