,winner,loser,event
0,Jack Hermansson,Ronaldo Souza,UFC_Fight_Night_Jacaré_vs_Hermansson
1,Greg Hardy,Dmitry Smolyakov,UFC_Fight_Night_Jacaré_vs_Hermansson
2,Mike Perry,Alex Oliveira,UFC_Fight_Night_Jacaré_vs_Hermansson
3,Glover Teixeira,Ion Cu\xc8\x9belaba,UFC_Fight_Night_Jacaré_vs_Hermansson
4,Cory Sandhagen,John Lineker,UFC_Fight_Night_Jacaré_vs_Hermansson
5,Roosevelt Roberts,Thomas Gifford,UFC_Fight_Night_Jacaré_vs_Hermansson
6,Takashi Sato,Ben Saunders,UFC_Fight_Night_Jacaré_vs_Hermansson
7,Augusto Sakai,Andrei Arlovski,UFC_Fight_Night_Jacaré_vs_Hermansson
8,Carla Esparza,Virna Jandiroba,UFC_Fight_Night_Jacaré_vs_Hermansson
9,Gilbert Burns,Mike Davis,UFC_Fight_Night_Jacaré_vs_Hermansson
10,Jim Miller,Jason Gonzalez,UFC_Fight_Night_Jacaré_vs_Hermansson
11,Angela Hill,Jodie Esquibel,UFC_Fight_Night_Jacaré_vs_Hermansson
12,Dhiego Lima,Court McGee,UFC_Fight_Night_Jacaré_vs_Hermansson
