,winner,loser,event
0,Derrick Lewis,Travis Browne,UFC_Fight_Night_Lewis_vs_Browne
1,Johny Hendricks,Hector Lombard,UFC_Fight_Night_Lewis_vs_Browne
2,Gavin Tucker,Sam Sicilia,UFC_Fight_Night_Lewis_vs_Browne
3,Elias Theodorou,Cezar Ferreira,UFC_Fight_Night_Lewis_vs_Browne
4,Sara McMann,Gina Mazany,UFC_Fight_Night_Lewis_vs_Browne
5,Paul Felder,Alessandro Ricci,UFC_Fight_Night_Lewis_vs_Browne
6,Santiago Ponzinibbio,Nordine Taleb,UFC_Fight_Night_Lewis_vs_Browne
7,Randa Markos,Carla Esparza,UFC_Fight_Night_Lewis_vs_Browne
8,Aiemann Zahabi,Reginaldo Vieira,UFC_Fight_Night_Lewis_vs_Browne
9,Thiago Santos,Jack Marshman,UFC_Fight_Night_Lewis_vs_Browne
10,Gerald Meerschaert,Ryan Janes,UFC_Fight_Night_Lewis_vs_Browne
