,winner,loser,event
0,Mark Hunt,Derrick Lewis,UFC_Fight_Night_Lewis_vs_Hunt
1,Derek Brunson,Dan Kelly,UFC_Fight_Night_Lewis_vs_Hunt
2,Dan Hooker,Ross Pearson,UFC_Fight_Night_Lewis_vs_Hunt
3,Ion Cu\xc8\x9belaba,Henrique da Silva,UFC_Fight_Night_Lewis_vs_Hunt
4,Ben Nguyen,Tim Elliott,UFC_Fight_Night_Lewis_vs_Hunt
5,Alexander Volkanovski,Mizuto Hirota,UFC_Fight_Night_Lewis_vs_Hunt
6,Vinc Pichel,Damien Brown,UFC_Fight_Night_Lewis_vs_Hunt
7,Luke Jumeau,Dominique Steele,UFC_Fight_Night_Lewis_vs_Hunt
8,John Moraga,Ashkan Mokhtarian,UFC_Fight_Night_Lewis_vs_Hunt
9,Zak Ottow,Kiichi Kunimoto,UFC_Fight_Night_Lewis_vs_Hunt
10,JJ Aldrich,Chan-Mi Jeon,UFC_Fight_Night_Lewis_vs_Hunt
