,winner,loser,event
0,John Lineker,John Dodson,UFC_Fight_Night_Lineker_vs_Dodson
1,Alex Oliveira,Will Brooks,UFC_Fight_Night_Lineker_vs_Dodson
2,Zak Ottow,Josh Burkman,UFC_Fight_Night_Lineker_vs_Dodson
3,Brandon Moreno,Louis Smolka,UFC_Fight_Night_Lineker_vs_Dodson
4,Luis Henrique da Silva,Joachim Christensen,UFC_Fight_Night_Lineker_vs_Dodson
5,Andre Fili,Hacran Dias,UFC_Fight_Night_Lineker_vs_Dodson
6,Shamil Abdurakhimov,Walt Harris,UFC_Fight_Night_Lineker_vs_Dodson
7,Elizeu Zaleski dos Santos,Keita Nakamura,UFC_Fight_Night_Lineker_vs_Dodson
8,Nate Marquardt,Tamdan McCrory,UFC_Fight_Night_Lineker_vs_Dodson
9,Ion Cu\xc8\x9belaba,Jonathan Wilson,UFC_Fight_Night_Lineker_vs_Dodson
10,Curtis Blaydes,Cody East,UFC_Fight_Night_Lineker_vs_Dodson
11,Ketlen Vieira,Kelly Faszholz,UFC_Fight_Night_Lineker_vs_Dodson
