,winner,loser,event
0,Rory MacDonald,Tarec Saffiedine,UFC_Fight_Night_MacDonald_vs_Saffiedine
1,Raphael Assun\xc3\xa7\xc3\xa3o,Bryan Caraway,UFC_Fight_Night_MacDonald_vs_Saffiedine
2,Chad Laprise,Yosdenis Cedeno,UFC_Fight_Night_MacDonald_vs_Saffiedine
3,Elias Theodorou,Bruno Santos,UFC_Fight_Night_MacDonald_vs_Saffiedine
4,Nordine Taleb,Li Jingliang,UFC_Fight_Night_MacDonald_vs_Saffiedine
5,Mitch Gagnon,Roman Salazar,UFC_Fight_Night_MacDonald_vs_Saffiedine
6,Daron Cruickshank,Anthony Njokuani,UFC_Fight_Night_MacDonald_vs_Saffiedine
7,Olivier Aubin-Mercier,Jake Lindsey,UFC_Fight_Night_MacDonald_vs_Saffiedine
8,Paul Felder,Jason Saggo,UFC_Fight_Night_MacDonald_vs_Saffiedine
9,Chris Kelades,Paddy Holohan,UFC_Fight_Night_MacDonald_vs_Saffiedine
10,Albert Tumenov,Matt Dwyer,UFC_Fight_Night_MacDonald_vs_Saffiedine
11,Pedro Munhoz,Jerrod Sanders,UFC_Fight_Night_MacDonald_vs_Saffiedine
