,winner,loser,event
0,Stephen Thompson,Rory MacDonald,UFC_Fight_Night_MacDonald_vs_Thompson
1,Donald Cerrone,Patrick C\xc3\xb4t\xc3\xa9,UFC_Fight_Night_MacDonald_vs_Thompson
2,Steve Boss\xc3\xa9,Sean O\'Connell,UFC_Fight_Night_MacDonald_vs_Thompson
3,Olivier Aubin-Mercier,Thibault Gouti,UFC_Fight_Night_MacDonald_vs_Thompson
4,Joanne Calderwood,Val\xc3\xa9rie L\xc3\xa9tourneau,UFC_Fight_Night_MacDonald_vs_Thompson
5,Jason Saggo,Leandro Silva,UFC_Fight_Night_MacDonald_vs_Thompson
6,Misha Cirkunov,Ion Cu\xc8\x9belaba,UFC_Fight_Night_MacDonald_vs_Thompson
7,Krzysztof Jotko,Tamdan McCrory,UFC_Fight_Night_MacDonald_vs_Thompson
8,Joe Soto,Chris Beal,UFC_Fight_Night_MacDonald_vs_Thompson
9,Elias Theodorou,Sam Alvey,UFC_Fight_Night_MacDonald_vs_Thompson
10,Randa Markos,Jocelyn Jones-Lybarger,UFC_Fight_Night_MacDonald_vs_Thompson
11,Colby Covington,Jonathan Meunier,UFC_Fight_Night_MacDonald_vs_Thompson
12,Ali Bagautinov,Geane Herrera,UFC_Fight_Night_MacDonald_vs_Thompson
