,winner,loser,event
0,Zabit Magomedsharipov,Calvin Kattar,UFC_Fight_Night_Magomedsharipov_vs_Kattar
1,Alexander Volkov,Greg Hardy,UFC_Fight_Night_Magomedsharipov_vs_Kattar
2,Danny Roberts,Zelim Imadaev,UFC_Fight_Night_Magomedsharipov_vs_Kattar
3,Ed Herman,Khadis Ibragimov,UFC_Fight_Night_Magomedsharipov_vs_Kattar
4,Anthony Rocco Martin,Ramazan Emeev,UFC_Fight_Night_Magomedsharipov_vs_Kattar
5,Shamil Gamzatov,Klidson Abreu,UFC_Fight_Night_Magomedsharipov_vs_Kattar
6,Magomed Ankalaev,Dalcha Lungiambula,UFC_Fight_Night_Magomedsharipov_vs_Kattar
7,Rustam Khabilov,Sergey Khandozhko,UFC_Fight_Night_Magomedsharipov_vs_Kattar
8,Karl Roberson,Roman Kopylov,UFC_Fight_Night_Magomedsharipov_vs_Kattar
9,David Zawada,Abubakar Nurmagomedov,UFC_Fight_Night_Magomedsharipov_vs_Kattar
10,Roosevelt Roberts,Alexander Yakovlev,UFC_Fight_Night_Magomedsharipov_vs_Kattar
11,Pannie Kianzad,Jessica-Rose Clark,UFC_Fight_Night_Magomedsharipov_vs_Kattar
12,Davey Grant,Grigorii Popov,UFC_Fight_Night_Magomedsharipov_vs_Kattar
