,winner,loser,event
0,Demian Maia,Ben Askren,UFC_Fight_Night_Maia_vs_Askren
1,Stevie Ray,Michael Johnson,UFC_Fight_Night_Maia_vs_Askren
2,Beneil Dariush,Frank Camacho,UFC_Fight_Night_Maia_vs_Askren
3,Ciryl Gane,Don\xe2\x80\x99Tale Mayes,UFC_Fight_Night_Maia_vs_Askren
4,Muslim Salikhov,Laureano Staropoli,UFC_Fight_Night_Maia_vs_Askren
5,Randa Markos,Ashley Yoder,UFC_Fight_Night_Maia_vs_Askren
6,Rafael Fiziev,Alex White,UFC_Fight_Night_Maia_vs_Askren
7,Movsar Evloev,Enrique Barzola,UFC_Fight_Night_Maia_vs_Askren
8,Sergei Pavlovich,Maurice Greene,UFC_Fight_Night_Maia_vs_Askren
9,Loma Lookboonmee,Aleksandra Albu,UFC_Fight_Night_Maia_vs_Askren
10,Raphael Pessoa Nunes,Jeff Hughes,UFC_Fight_Night_Maia_vs_Askren
