,winner,loser,event
0,Jake Shields,Demian Maia,UFC_Fight_Night_Maia_vs_Shields
1,Dong Hyun Kim,Erick Silva,UFC_Fight_Night_Maia_vs_Shields
2,Thiago Silva,Matt Hamill,UFC_Fight_Night_Maia_vs_Shields
3,Fabio Maldonado,Joey Beltran,UFC_Fight_Night_Maia_vs_Shields
4,Rousimar Palhares,Mike Pierce,UFC_Fight_Night_Maia_vs_Shields
5,Raphael Assun\xc3\xa7\xc3\xa3o,T.J. Dillashaw,UFC_Fight_Night_Maia_vs_Shields
6,Igor Ara\xc3\xbajo,Ildemar Alcantara,UFC_Fight_Night_Maia_vs_Shields
7,Yan Cabral,David Mitchell,UFC_Fight_Night_Maia_vs_Shields
8,Chris Cariaso,Iliarde Santos,UFC_Fight_Night_Maia_vs_Shields
9,Alan Patrick,Garett Whiteley,UFC_Fight_Night_Maia_vs_Shields
