,winner,loser,event
0,Kamaru Usman,Demian Maia,UFC_Fight_Night_Maia_vs_Usman
1,Tatiana Suarez,Alexa Grasso,UFC_Fight_Night_Maia_vs_Usman
2,Dominick Reyes,Jared Cannonier,UFC_Fight_Night_Maia_vs_Usman
3,Guido Cannetti,Diego Rivas,UFC_Fight_Night_Maia_vs_Usman
4,Andrea Lee,Veronica Macedo,UFC_Fight_Night_Maia_vs_Usman
5,Vicente Luque,Chad Laprise,UFC_Fight_Night_Maia_vs_Usman
6,Michel Prazeres,Zak Cummings,UFC_Fight_Night_Maia_vs_Usman
7,Alexandre Pantoja,Brandon Moreno,UFC_Fight_Night_Maia_vs_Usman
8,Poliana Botelho,Syuri Kondo,UFC_Fight_Night_Maia_vs_Usman
9,Gabriel Ben\xc3\xadtez,Humberto Bandenay,UFC_Fight_Night_Maia_vs_Usman
10,Enrique Barzola,Brandon Davis,UFC_Fight_Night_Maia_vs_Usman
11,Frankie Saenz,Henry Briones,UFC_Fight_Night_Maia_vs_Usman
12,Claudio Puelles,Felipe Silva,UFC_Fight_Night_Maia_vs_Usman
