,winner,loser,event
0,Chad Mendes,Ricardo Lamas,UFC_Fight_Night_Mendes_vs_Lamas
1,Al Iaquinta,Jorge Masvidal,UFC_Fight_Night_Mendes_vs_Lamas
2,Michael Chiesa,Mitch Clarke,UFC_Fight_Night_Mendes_vs_Lamas
3,Julianna Pe\xc3\xb1a,Milana Dudieva,UFC_Fight_Night_Mendes_vs_Lamas
4,Clay Guida,Robbie Peralta,UFC_Fight_Night_Mendes_vs_Lamas
5,Dustin Poirier,Carlos Diego Ferreira,UFC_Fight_Night_Mendes_vs_Lamas
6,Liz Carmouche,Lauren Murphy,UFC_Fight_Night_Mendes_vs_Lamas
7,Alexander Yakovlev,Gray Maynard,UFC_Fight_Night_Mendes_vs_Lamas
8,Timothy Johnson,Shamil Abdurakhimov,UFC_Fight_Night_Mendes_vs_Lamas
9,Ron Stallings,Justin Jones,UFC_Fight_Night_Mendes_vs_Lamas
