,winner,loser,event
0,Gegard Mousasi,Uriah Hall,UFC_Fight_Night_Mousasi_vs_Hall_2
1,Stevie Ray,Ross Pearson,UFC_Fight_Night_Mousasi_vs_Hall_2
2,Alexander Volkov,Timothy Johnson,UFC_Fight_Night_Mousasi_vs_Hall_2
3,Artem Lobov,Teruto Ishihara,UFC_Fight_Night_Mousasi_vs_Hall_2
4,Jack Marshman,Magnus Cedenblad,UFC_Fight_Night_Mousasi_vs_Hall_2
5,Kyoji Horiguchi,Ali Bagautinov,UFC_Fight_Night_Mousasi_vs_Hall_2
6,Kevin Lee,Magomed Mustafaev,UFC_Fight_Night_Mousasi_vs_Hall_2
7,Amanda Cooper,Anna Elmose,UFC_Fight_Night_Mousasi_vs_Hall_2
8,Justin Ledet,Mark Godbeer,UFC_Fight_Night_Mousasi_vs_Hall_2
9,Zak Cummings,Alexander Yakovlev,UFC_Fight_Night_Mousasi_vs_Hall_2
10,Marion Reneau,Milana Dudieva,UFC_Fight_Night_Mousasi_vs_Hall_2
11,Brett Johns,Kwan Ho Kwak,UFC_Fight_Night_Mousasi_vs_Hall_2
12,Abdul Razak Alhassan,Charlie Ward,UFC_Fight_Night_Mousasi_vs_Hall_2
