,winner,loser,event
0,Rose Namajunas,Paige VanZant,UFC_Fight_Night_Namajunas_vs_VanZant
1,Michael Chiesa,Jim Miller,UFC_Fight_Night_Namajunas_vs_VanZant
2,Sage Northcutt,Cody Pfister,UFC_Fight_Night_Namajunas_vs_VanZant
3,Thiago Santos,Elias Theodorou,UFC_Fight_Night_Namajunas_vs_VanZant
4,Tim Means,John Howard,UFC_Fight_Night_Namajunas_vs_VanZant
5,S\xc3\xa9rgio Moraes,Omari Akhmedov,UFC_Fight_Night_Namajunas_vs_VanZant
6,Ant\xc3\xb4nio Carlos J\xc3\xbanior,Kevin Casey,UFC_Fight_Night_Namajunas_vs_VanZant
7,Aljamain Sterling,Johnny Eduardo,UFC_Fight_Night_Namajunas_vs_VanZant
8,Santiago Ponzinibbio,Andreas St\xc3\xa5hl,UFC_Fight_Night_Namajunas_vs_VanZant
9,Danny Roberts,Nathan Coy,UFC_Fight_Night_Namajunas_vs_VanZant
10,Zubaira Tukhugov,Phillipe Nover,UFC_Fight_Night_Namajunas_vs_VanZant
11,Kailin Curran,Emily Kagan,UFC_Fight_Night_Namajunas_vs_VanZant
