,winner,loser,weight_class,event
0,Santiago Ponzinibbio,Gunnar Nelson,Welterweight,UFC_Fight_Night_Nelson_vs_Ponzinibbio
1,Cynthia Calvillo,Joanne Calderwood,Catchweight (118 lbs),UFC_Fight_Night_Nelson_vs_Ponzinibbio
2,Paul Felder,Stevie Ray,Lightweight,UFC_Fight_Night_Nelson_vs_Ponzinibbio
3,Jack Marshman,Ryan Janes,Middleweight,UFC_Fight_Night_Nelson_vs_Ponzinibbio
4,Khalil Rountree,Paul Craig,Light Heavyweight,UFC_Fight_Night_Nelson_vs_Ponzinibbio
5,Justin Willis,James Mulheron,Heavyweight,UFC_Fight_Night_Nelson_vs_Ponzinibbio
6,Danny Roberts,Bobby Nash,Welterweight,UFC_Fight_Night_Nelson_vs_Ponzinibbio
7,Alexandre Pantoja,Neil Seery,Flyweight,UFC_Fight_Night_Nelson_vs_Ponzinibbio
8,Galore Bofando,Charlie Ward,Welterweight,UFC_Fight_Night_Nelson_vs_Ponzinibbio
9,Danny Henry,Daniel Teymur,Lightweight,UFC_Fight_Night_Nelson_vs_Ponzinibbio
10,Brett Johns,Albert Morales,Bantamweight,UFC_Fight_Night_Nelson_vs_Ponzinibbio
11,Leslie Smith,Amanda Lemos,Women\'s Bantamweight,UFC_Fight_Night_Nelson_vs_Ponzinibbio
