,winner,loser,weight_class,event
0,Rick Story,Gunnar Nelson,Welterweight,UFC_Fight_Night_Nelson_vs_Story
1,Max Holloway,Akira Corassani,Featherweight,UFC_Fight_Night_Nelson_vs_Story
2,Jan B\xc5\x82achowicz,Ilir Latifi,Light Heavyweight,UFC_Fight_Night_Nelson_vs_Story
3,Mike Wilkinson,Niklas B\xc3\xa4ckstr\xc3\xb6m,Featherweight,UFC_Fight_Night_Nelson_vs_Story
4,Magnus Cedenblad,Scott Askham,Middleweight,UFC_Fight_Night_Nelson_vs_Story
5,Nico Musoke,Alexander Yakovlev,Welterweight,UFC_Fight_Night_Nelson_vs_Story
6,Dennis Siver,Charles Rosa,Featherweight,UFC_Fight_Night_Nelson_vs_Story
7,Cathal Pendred,Gasan Umalatov,Welterweight,UFC_Fight_Night_Nelson_vs_Story
8,Krzysztof Jotko,Tor Tro\xc3\xa9ng,Middleweight,UFC_Fight_Night_Nelson_vs_Story
9,Mairbek Taisumov,Marcin Bandel,Lightweight,UFC_Fight_Night_Nelson_vs_Story
10,Zubaira Tukhugov,Ernest Chavez,Featherweight,UFC_Fight_Night_Nelson_vs_Story
