,winner,loser,event
0,Phil Davis,Ant\xc3\xb4nio Rog\xc3\xa9rio Nogueira,UFC_Fight_Night_Nogueira_vs_Davis
1,Anthony Johnson,Dan Hardy,UFC_Fight_Night_Nogueira_vs_Davis
2,Amir Sadollah,DaMarques Johnson,UFC_Fight_Night_Nogueira_vs_Davis
3,Chan Sung Jung,Leonard Garcia,UFC_Fight_Night_Nogueira_vs_Davis
4,Mike Russow,Jon Madsen,UFC_Fight_Night_Nogueira_vs_Davis
5,Mackens Semerzier,Alex Caceres,UFC_Fight_Night_Nogueira_vs_Davis
6,John Hathaway,Kris McCray,UFC_Fight_Night_Nogueira_vs_Davis
7,Michael McDonald,Edwin Figueroa,UFC_Fight_Night_Nogueira_vs_Davis
8,Christian Morecraft,Sean McCorkle,UFC_Fight_Night_Nogueira_vs_Davis
9,Johny Hendricks,TJ Waldburger,UFC_Fight_Night_Nogueira_vs_Davis
10,Aaron Simpson,Mario Miranda,UFC_Fight_Night_Nogueira_vs_Davis
11,Nik Lentz,Waylon Lowe,UFC_Fight_Night_Nogueira_vs_Davis
