,winner,loser,event
0,Alistair Overeem,Aleksei Oleinik,UFC_Fight_Night_Overeem_vs_Oleinik
1,Islam Makhachev,Arman Tsarukyan,UFC_Fight_Night_Overeem_vs_Oleinik
2,Sergei Pavlovich,Marcelo Golm,UFC_Fight_Night_Overeem_vs_Oleinik
3,Roxanne Modafferi,Antonina Shevchenko,UFC_Fight_Night_Overeem_vs_Oleinik
4,Krzysztof Jotko,Alen Amedovski,UFC_Fight_Night_Overeem_vs_Oleinik
5,Movsar Evloev,Seung Woo Choi,UFC_Fight_Night_Overeem_vs_Oleinik
6,Sultan Aliev,Keita Nakamura,UFC_Fight_Night_Overeem_vs_Oleinik
7,Alexander Yakovlev,Alex da Silva Coelho,UFC_Fight_Night_Overeem_vs_Oleinik
8,Shamil Abdurakhimov,Marcin Tybura,UFC_Fight_Night_Overeem_vs_Oleinik
9,Micha\xc5\x82 Oleksiejczuk,Gadzhimurad Antigulov,UFC_Fight_Night_Overeem_vs_Oleinik
10,Magomed Mustafaev,Rafael Fiziev,UFC_Fight_Night_Overeem_vs_Oleinik
