,winner,loser,weight_class,event
0,Marlon Moraes,Jimmie Rivera,Bantamweight,UFC_Fight_Night_Rivera_vs_Moraes
1,Gregor Gillespie,Vinc Pichel,Lightweight,UFC_Fight_Night_Rivera_vs_Moraes
2,Walt Harris,Daniel Spitz,Heavyweight,UFC_Fight_Night_Rivera_vs_Moraes
3,Ben Saunders,Jake Ellenberger,Welterweight,UFC_Fight_Night_Rivera_vs_Moraes
4,Julio Arce,Daniel Teymur,Featherweight,UFC_Fight_Night_Rivera_vs_Moraes
5,Sam Alvey,Gian Villante,Light Heavyweight,UFC_Fight_Night_Rivera_vs_Moraes
6,Sijara Eubanks,Lauren Murphy,Women\'s Flyweight,UFC_Fight_Night_Rivera_vs_Moraes
7,David Teymur,Nik Lentz,Lightweight,UFC_Fight_Night_Rivera_vs_Moraes
8,Belal Muhammad,Chance Rencountre,Welterweight,UFC_Fight_Night_Rivera_vs_Moraes
9,Desmond Green,Gleison Tibau,Lightweight,UFC_Fight_Night_Rivera_vs_Moraes
10,Nathaniel Wood,Johnny Eduardo,Bantamweight,UFC_Fight_Night_Rivera_vs_Moraes
11,Jose Torres,Jarred Brooks,Flyweight,UFC_Fight_Night_Rivera_vs_Moraes
