,winner,loser,weight_class,event
0,Luke Rockhold,Michael Bisping,Middleweight,UFC_Fight_Night_Rockhold_vs_Bisping
1,Al Iaquinta,Ross Pearson,Lightweight,UFC_Fight_Night_Rockhold_vs_Bisping
2,Robert Whittaker,Clint Hester,Middleweight,UFC_Fight_Night_Rockhold_vs_Bisping
3,Soa Palelei,Walt Harris,Heavyweight,UFC_Fight_Night_Rockhold_vs_Bisping
4,Jake Matthews,Vagner Rocha,Lightweight,UFC_Fight_Night_Rockhold_vs_Bisping
5,Anthony Perosh,Guto Inocente,Light Heavyweight,UFC_Fight_Night_Rockhold_vs_Bisping
6,Sam Alvey,Dylan Andrews,Middleweight,UFC_Fight_Night_Rockhold_vs_Bisping
7,Louis Smolka,Richie Vaculik,Flyweight,UFC_Fight_Night_Rockhold_vs_Bisping
8,Chris Clements,Vik Grujic,Welterweight,UFC_Fight_Night_Rockhold_vs_Bisping
9,Dan Kelly,Luke Zachrich,Middleweight,UFC_Fight_Night_Rockhold_vs_Bisping
10,Marcus Brimage,Jumabieke Tuerxun,Bantamweight,UFC_Fight_Night_Rockhold_vs_Bisping
