,winner,loser,weight_class,event
0,Junior dos Santos,Ben Rothwell,Heavyweight,UFC_Fight_Night_Rothwell_vs_dos_Santos
1,Derrick Lewis,Gabriel Gonzaga,Heavyweight,UFC_Fight_Night_Rothwell_vs_dos_Santos
2,Francis Ngannou,Curtis Blaydes,Heavyweight,UFC_Fight_Night_Rothwell_vs_dos_Santos
3,Timothy Johnson,Marcin Tybura,Heavyweight,UFC_Fight_Night_Rothwell_vs_dos_Santos
4,Jan B\xc5\x82achowicz,Igor Pokrajac,Light Heavyweight,UFC_Fight_Night_Rothwell_vs_dos_Santos
5,Maryna Moroz,Cristina Stanciu,Women\'s Strawweight,UFC_Fight_Night_Rothwell_vs_dos_Santos
6,Zak Cummings,Nicolas Dalby,Welterweight,UFC_Fight_Night_Rothwell_vs_dos_Santos
7,Alejandro P\xc3\xa9rez,Ian Entwistle,Bantamweight,UFC_Fight_Night_Rothwell_vs_dos_Santos
8,Mairbek Taisumov,Damir Had\xc5\xbeovi\xc4\x87,Lightweight,UFC_Fight_Night_Rothwell_vs_dos_Santos
9,Damian Stasiak,Filip Peji\xc4\x87,Bantamweight,UFC_Fight_Night_Rothwell_vs_dos_Santos
10,Lucas Martins,Robert Whiteford,Featherweight,UFC_Fight_Night_Rothwell_vs_dos_Santos
11,Jared Cannonier,Cyril Asker,Heavyweight,UFC_Fight_Night_Rothwell_vs_dos_Santos
12,Bojan Veli\xc4\x8dkovi\xc4\x87,Alessio Di Chirico,Middleweight,UFC_Fight_Night_Rothwell_vs_dos_Santos
