,winner,loser,weight_class,event
0,Ovince Saint Preux,Maur\xc3\xadcio Rua,Light Heavyweight,UFC_Fight_Night_Shogun_vs_Saint_Preux
1,Warlley Alves,Alan Jouban,Welterweight,UFC_Fight_Night_Shogun_vs_Saint_Preux
2,Cl\xc3\xa1udio Silva,Leon Edwards,Welterweight,UFC_Fight_Night_Shogun_vs_Saint_Preux
3,Dhiego Lima,Jorge de Oliveira,Welterweight,UFC_Fight_Night_Shogun_vs_Saint_Preux
4,Juliana Lima,Nina Ansaroff,Women\'s Strawweight,UFC_Fight_Night_Shogun_vs_Saint_Preux
5,Diego Rivas,Rodolfo Rubio,Featherweight,UFC_Fight_Night_Shogun_vs_Saint_Preux
6,Caio Magalh\xc3\xa3es,Trevor Smith,Middleweight,UFC_Fight_Night_Shogun_vs_Saint_Preux
7,Leandro Silva,Charlie Brenneman,Lightweight,UFC_Fight_Night_Shogun_vs_Saint_Preux
8,Thomas Almeida,Tim Gorman,Bantamweight,UFC_Fight_Night_Shogun_vs_Saint_Preux
9,Colby Covington,Wagner Silva,Welterweight,UFC_Fight_Night_Shogun_vs_Saint_Preux
