,winner,loser,event
0,Anthony Smith,Maur\xc3\xadcio Rua,UFC_Fight_Night_Shogun_vs_Smith
1,Corey Anderson,Glover Teixeira,UFC_Fight_Night_Shogun_vs_Smith
2,Abu Azaitar,Vitor Miranda,UFC_Fight_Night_Shogun_vs_Smith
3,Marcin Tybura,Stefan Struve,UFC_Fight_Night_Shogun_vs_Smith
4,Danny Roberts,David Zawada,UFC_Fight_Night_Shogun_vs_Smith
5,Nasrat Haqparast,Marc Diakiese,UFC_Fight_Night_Shogun_vs_Smith
6,Damir Had\xc5\xbeovi\xc4\x87,Nick Hein,UFC_Fight_Night_Shogun_vs_Smith
7,Bartosz Fabi\xc5\x84ski,Emil Weber Meek,UFC_Fight_Night_Shogun_vs_Smith
8,Nad Narimani,Khalid Taha,UFC_Fight_Night_Shogun_vs_Smith
9,Aleksandar Raki\xc4\x87,Justin Ledet,UFC_Fight_Night_Shogun_vs_Smith
10,Manny Bermudez,Davey Grant,UFC_Fight_Night_Shogun_vs_Smith
11,Darko Sto\xc5\xa1i\xc4\x87,Jeremy Kimball,UFC_Fight_Night_Shogun_vs_Smith
12,Liu Pingyuan,Damian Stasiak,UFC_Fight_Night_Shogun_vs_Smith
