,winner,loser,event
0,Chael Sonnen,Maur\xc3\xadcio Rua,UFC_Fight_Night_Shogun_vs_Sonnen
1,Travis Browne,Alistair Overeem,UFC_Fight_Night_Shogun_vs_Sonnen
2,Urijah Faber,Iuri Alc\xc3\xa2ntara,UFC_Fight_Night_Shogun_vs_Sonnen
3,Matt Brown,Mike Pyle,UFC_Fight_Night_Shogun_vs_Sonnen
4,John Howard,Uriah Hall,UFC_Fight_Night_Shogun_vs_Sonnen
5,Michael Johnson,Joe Lauzon,UFC_Fight_Night_Shogun_vs_Sonnen
6,Michael McDonald,Brad Pickett,UFC_Fight_Night_Shogun_vs_Sonnen
7,Conor McGregor,Max Holloway,UFC_Fight_Night_Shogun_vs_Sonnen
8,Steven Siler,Mike Brown,UFC_Fight_Night_Shogun_vs_Sonnen
9,Diego Brandao,Daniel Pineda,UFC_Fight_Night_Shogun_vs_Sonnen
10,Manvel Gamburyan,Cole Miller,UFC_Fight_Night_Shogun_vs_Sonnen
11,Ovince Saint Preux,Cody Donovan,UFC_Fight_Night_Shogun_vs_Sonnen
12,James Vick,Ramsey Nijem,UFC_Fight_Night_Shogun_vs_Sonnen
